Rank,Name,Year,Rating,Num_user_rating
150,El secreto de sus ojos,2009,8.1,201987
151,Raging Bull,1980,8.1,337365
152,Chinatown,1974,8.1,311066
153,Tonari no Totoro,1988,8.1,313424
154,Lock| Stock and Two Smoking Barrels,1998,8.1,557516
155,Shutter Island,2010,8.1,1205879
156,The Gold Rush,1925,8.1,107014
157,No Country for Old Men,2007,8.1,907250
158,Dial M for Murder,1954,8.1,167734
159,Det sjunde inseglet,1957,8.1,176540
160,Three Billboards Outside Ebbing| Missouri,2017,8.1,470009
161,The Thing,1982,8.1,395757
162,The Elephant Man,1980,8.1,231672
163,The Sixth Sense,1999,8.1,946655
164,Klaus,2019,8.1,121456
165,Smultronstället,1957,8.1,102770
166,The Third Man,1949,8.1,165858
167,The Truman Show,1998,8.1,996321
168,Jurassic Park,1993,8.1,914710
169,V for Vendetta,2005,8.1,1071405
170,Salinui chueok,2003,8.1,161383
171,Inside Out,2015,8.1,658518
172,Blade Runner,1982,8.1,726932
173,Trainspotting,1996,8.1,658999
174,The Bridge on the River Kwai,1957,8.1,212132
175,Fargo,1996,8.1,646415
176,Warrior,2011,8.1,451896
177,Finding Nemo,2003,8.1,988623
178,Kill Bill: Vol. 1,2003,8.1,1052437
179,Gone with the Wind,1939,8.1,302712
180,Tôkyô monogatari,1953,8.1,58104
181,On the Waterfront,1954,8.1,149189
182,Babam ve Oglum,2005,8.1,83508
183,Z,1969,8.1,26066
184,Relatos salvajes,2014,8.1,188026
185,Stalker,1979,8.1,127151
186,The Deer Hunter,1978,8.1,326031
187,Sherlock Jr.,1924,8.1,46417
188,Gran Torino,2008,8.1,745298
189,Persona,1966,8.1,111577
190,The General,1926,8.1,87326
191,The Grand Budapest Hotel,2014,8.1,751139
192,Prisoners,2013,8.1,645145
193,Before Sunrise,1995,8.1,288704
194,Mary and Max.,2009,8.1,171324
195,Mr. Smith Goes to Washington,1939,8.1,111883
196,Catch Me If You Can,2002,8.1,894762
197,Room,2015,8.1,395283
198,In the Name of the Father,1993,8.1,166834
199,Barry Lyndon,1975,8.1,159375
200,Gone Girl,2014,8.1,915768
201,Hacksaw Ridge,2016,8.1,472502
202,La passion de Jeanne d'Arc,1928,8.1,51801
203,Andhadhun,2018,8.1,83911
204,Ford v Ferrari,2019,8.1,340439
205,12 Years a Slave,2013,8.1,668012
206,To Be or Not to Be,1942,8.1,34155
207,The Big Lebowski,1998,8.1,769999
208,Höstsonaten,1978,8.1,31800
209,How to Train Your Dragon,2010,8.1,697406
210,Dead Poets Society,1989,8.1,452378
211,Mad Max: Fury Road,2015,8.1,934462
212,Ben-Hur,1959,8.1,229552
213,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,808207
214,Million Dollar Baby,2004,8.1,660612
215,Le salaire de la peur,1953,8.1,58520
216,Stand by Me,1986,8.1,381879
217,Ah-ga-ssi,2016,8.1,129842
218,Network,1976,8.1,153036
219,Logan,2017,8.1,694265
220,Cool Hand Luke,1967,8.1,170845
221,Hachi: A Dog's Tale,2009,8.0,268211
222,Les quatre cents coups,1959,8.0,112080
223,La haine,1995,8.0,161450
224,Gangs of Wasseypur,2012,8.0,90356
225,Platoon,1986,8.0,396966
226,Spotlight,2015,8.0,445125
227,Koe no katachi,2016,8.0,65231
228,Rebecca,1940,8.0,131732
229,Monsters| Inc.,2001,8.0,855438
230,Life of Brian,1979,8.0,383324
231,Eskiya,1996,8.0,68066
232,Hotel Rwanda,2004,8.0,344793
233,Fa Yeung Nin Wah,2000,8.0,138076
234,Rush,2013,8.0,455126
235,Into the Wild,2007,8.0,597206
236,Amores perros,2000,8.0,232885
237,Rocky,1976,8.0,542859
238,Kaze no tani no Naushika,1984,8.0,161018
239,Andrei Rublev,1966,8.0,51198
240,It Happened One Night,1934,8.0,99372
241,Fanny och Alexander,1982,8.0,61218
242,Before Sunset,2004,8.0,249385
243,Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo| kimi ni,1997,8.0,47460
244,La battaglia di Algeri,1966,8.0,57212
245,Le notti di Cabiria,1957,8.0,46473
246,The Princess Bride,1987,8.0,410571
247,Paris| Texas,1984,8.0,99968
248,Trois couleurs: Rouge,1994,8.0,98728
249,Mandariinid,2013,8.0,44462
250,Drishyam 2,2021,8.0,31257
